driver,team,lap,stint,compound,tyre_age,pit_stop,safety_car,fuel_effect,track_evolution,lap_time_seconds
PER,Red Bull,22,2,Medium,5,0,0,1.26,-0.176,90.049
PER,Red Bull,23,2,Medium,6,0,0,1.225,-0.184,90.192
PER,Red Bull,24,2,Medium,7,0,1,1.19,-0.192,104.353
PER,Red Bull,25,2,Medium,8,0,1,1.155,-0.2,103.835
PER,Red Bull,26,2,Medium,9,0,1,1.12,-0.208,107.288
PER,Red Bull,27,2,Medium,10,0,1,1.085,-0.216,107.577
PER,Red Bull,28,2,Medium,11,0,0,1.05,-0.224,90.944
PER,Red Bull,29,2,Medium,12,0,0,1.015,-0.232,90.136
PER,Red Bull,30,2,Medium,13,0,0,0.98,-0.24,90.289
PER,Red Bull,31,2,Medium,14,0,0,0.945,-0.248,90.256
PER,Red Bull,32,2,Medium,15,0,0,0.91,-0.256,90.192
PER,Red Bull,33,2,Medium,16,0,0,0.875,-0.264,89.962
PER,Red Bull,34,2,Medium,17,0,0,0.84,-0.272,90.243
PER,Red Bull,35,2,Medium,18,0,0,0.805,-0.28,89.872
PER,Red Bull,36,2,Medium,19,0,0,0.77,-0.288,90.018
PER,Red Bull,37,2,Medium,20,0,0,0.735,-0.296,89.968
PER,Red Bull,38,2,Medium,21,0,0,0.7,-0.304,90.121
PER,Red Bull,39,2,Medium,22,0,0,0.665,-0.312,90.692
PER,Red Bull,40,3,Hard,1,1,0,0.63,-0.32,88.878
PER,Red Bull,41,3,Hard,2,0,0,0.595,-0.328,89.509
PER,Red Bull,42,3,Hard,3,0,0,0.56,-0.336,88.926
PER,Red Bull,43,3,Hard,4,0,0,0.525,-0.344,89.203
PER,Red Bull,44,3,Hard,5,0,0,0.49,-0.352,89.585
PER,Red Bull,45,3,Hard,6,0,0,0.455,-0.36,89.321
PER,Red Bull,46,3,Hard,7,0,0,0.42,-0.368,89.028
PER,Red Bull,47,3,Hard,8,0,0,0.385,-0.376,89.11
PER,Red Bull,48,3,Hard,9,0,0,0.35,-0.384,89.451
PER,Red Bull,49,3,Hard,10,0,0,0.315,-0.392,89.09
PER,Red Bull,50,3,Hard,11,0,0,0.28,-0.4,89.319
PER,Red Bull,51,3,Hard,12,0,0,0.245,-0.408,89.268
PER,Red Bull,52,3,Hard,13,0,0,0.21,-0.416,89.086
PER,Red Bull,53,3,Hard,14,0,0,0.175,-0.424,89.777
PER,Red Bull,54,3,Hard,15,0,0,0.14,-0.432,89.391
PER,Red Bull,55,3,Hard,16,0,0,0.105,-0.44,88.719
PER,Red Bull,56,3,Hard,17,0,0,0.07,-0.448,89.264
PER,Red Bull,57,3,Hard,18,0,0,0.035,-0.456,89.044
PER,Red Bull,58,3,Hard,19,0,0,0.0,-0.464,89.414
LEC,Ferrari,1,1,Soft,1,0,0,1.995,-0.008,90.434
LEC,Ferrari,2,1,Soft,2,0,0,1.96,-0.016,90.655
LEC,Ferrari,3,1,Soft,3,0,0,1.925,-0.024,90.862
LEC,Ferrari,4,1,Soft,4,0,0,1.89,-0.032,91.004
LEC,Ferrari,5,1,Soft,5,0,0,1.855,-0.04,90.54
LEC,Ferrari,6,1,Soft,6,0,0,1.82,-0.048,90.808
LEC,Ferrari,7,1,Soft,7,0,0,1.785,-0.056,90.825
LEC,Ferrari,8,1,Soft,8,0,0,1.75,-0.064,90.833
LEC,Ferrari,9,1,Soft,9,0,0,1.715,-0.072,91.489
LEC,Ferrari,10,1,Soft,10,0,0,1.68,-0.08,91.201
LEC,Ferrari,11,1,Soft,11,0,0,1.645,-0.088,90.837
LEC,Ferrari,12,1,Soft,12,0,0,1.61,-0.096,91.433
LEC,Ferrari,13,1,Soft,13,0,0,1.575,-0.104,91.787
LEC,Ferrari,14,1,Soft,14,0,0,1.54,-0.112,91.566
LEC,Ferrari,15,1,Soft,15,0,0,1.505,-0.12,90.98
LEC,Ferrari,16,1,Soft,16,0,0,1.47,-0.128,91.291
LEC,Ferrari,17,2,Medium,1,1,0,1.435,-0.136,90.821
LEC,Ferrari,18,2,Medium,2,0,0,1.4,-0.144,90.339
LEC,Ferrari,19,2,Medium,3,0,0,1.365,-0.152,90.639
LEC,Ferrari,20,2,Medium,4,0,0,1.33,-0.16,90.734
LEC,Ferrari,21,2,Medium,5,0,0,1.295,-0.168,90.32
LEC,Ferrari,22,2,Medium,6,0,0,1.26,-0.176,90.549
LEC,Ferrari,23,2,Medium,7,0,0,1.225,-0.184,89.766
LEC,Ferrari,24,2,Medium,8,0,1,1.19,-0.192,103.371
LEC,Ferrari,25,2,Medium,9,0,1,1.155,-0.2,105.611
LEC,Ferrari,26,2,Medium,10,0,1,1.12,-0.208,106.065
LEC,Ferrari,27,2,Medium,11,0,1,1.085,-0.216,103.256
LEC,Ferrari,28,2,Medium,12,0,0,1.05,-0.224,90.277
LEC,Ferrari,29,2,Medium,13,0,0,1.015,-0.232,90.939
LEC,Ferrari,30,2,Medium,14,0,0,0.98,-0.24,90.663
LEC,Ferrari,31,2,Medium,15,0,0,0.945,-0.248,90.427
LEC,Ferrari,32,2,Medium,16,0,0,0.91,-0.256,90.8
LEC,Ferrari,33,2,Medium,17,0,0,0.875,-0.264,90.746
LEC,Ferrari,34,2,Medium,18,0,0,0.84,-0.272,90.558
LEC,Ferrari,35,2,Medium,19,0,0,0.805,-0.28,90.737
LEC,Ferrari,36,2,Medium,20,0,0,0.77,-0.288,90.636
LEC,Ferrari,37,2,Medium,21,0,0,0.735,-0.296,90.772
LEC,Ferrari,38,3,Hard,1,1,0,0.7,-0.304,90.197
LEC,Ferrari,39,3,Hard,2,0,0,0.665,-0.312,90.42
LEC,Ferrari,40,3,Hard,3,0,0,0.63,-0.32,89.706
LEC,Ferrari,41,3,Hard,4,0,0,0.595,-0.328,90.54
LEC,Ferrari,42,3,Hard,5,0,0,0.56,-0.336,89.511
LEC,Ferrari,43,3,Hard,6,0,0,0.525,-0.344,89.953
LEC,Ferrari,44,3,Hard,7,0,0,0.49,-0.352,90.13
LEC,Ferrari,45,3,Hard,8,0,0,0.455,-0.36,90.045
LEC,Ferrari,46,3,Hard,9,0,0,0.42,-0.368,89.811
LEC,Ferrari,47,3,Hard,10,0,0,0.385,-0.376,89.907
LEC,Ferrari,48,3,Hard,11,0,0,0.35,-0.384,89.828
LEC,Ferrari,49,3,Hard,12,0,0,0.315,-0.392,89.796
LEC,Ferrari,50,3,Hard,13,0,0,0.28,-0.4,90.147
LEC,Ferrari,51,3,Hard,14,0,0,0.245,-0.408,90.016
LEC,Ferrari,52,3,Hard,15,0,0,0.21,-0.416,89.746
LEC,Ferrari,53,3,Hard,16,0,0,0.175,-0.424,90.136
LEC,Ferrari,54,3,Hard,17,0,0,0.14,-0.432,89.98
LEC,Ferrari,55,3,Hard,18,0,0,0.105,-0.44,90.098
LEC,Ferrari,56,3,Hard,19,0,0,0.07,-0.448,90.044
LEC,Ferrari,57,3,Hard,20,0,0,0.035,-0.456,89.672
LEC,Ferrari,58,3,Hard,21,0,0,0.0,-0.464,89.731
SAI,Ferrari,1,1,Medium,1,0,0,1.995,-0.008,91.529
SAI,Ferrari,2,1,Medium,2,0,0,1.96,-0.016,91.507
SAI,Ferrari,3,1,Medium,3,0,0,1.925,-0.024,91.361
SAI,Ferrari,4,1,Medium,4,0,0,1.89,-0.032,91.407
SAI,Ferrari,5,1,Medium,5,0,0,1.855,-0.04,91.709
SAI,Ferrari,6,1,Medium,6,0,0,1.82,-0.048,91.254
SAI,Ferrari,7,1,Medium,7,0,0,1.785,-0.056,91.551
SAI,Ferrari,8,1,Medium,8,0,0,1.75,-0.064,91.375
SAI,Ferrari,9,1,Medium,9,0,0,1.715,-0.072,91.384
SAI,Ferrari,10,1,Medium,10,0,0,1.68,-0.08,91.725
SAI,Ferrari,11,1,Medium,11,0,0,1.645,-0.088,91.668
SAI,Ferrari,12,1,Medium,12,0,0,1.61,-0.096,91.677
SAI,Ferrari,13,1,Medium,13,0,0,1.575,-0.104,91.812
SAI,Ferrari,14,1,Medium,14,0,0,1.54,-0.112,91.503
SAI,Ferrari,15,1,Medium,15,0,0,1.505,-0.12,91.68
SAI,Ferrari,16,1,Medium,16,0,0,1.47,-0.128,91.444
SAI,Ferrari,17,1,Medium,17,0,0,1.435,-0.136,91.615
SAI,Ferrari,18,1,Medium,18,0,0,1.4,-0.144,91.513
SAI,Ferrari,19,1,Medium,19,0,0,1.365,-0.152,91.582
SAI,Ferrari,20,1,Medium,20,0,0,1.33,-0.16,91.719
SAI,Ferrari,21,1,Medium,21,0,0,1.295,-0.168,91.377
SAI,Ferrari,22,2,Hard,1,1,0,1.26,-0.176,91.392
SAI,Ferrari,23,2,Hard,2,0,0,1.225,-0.184,90.609
SAI,Ferrari,24,2,Hard,3,0,1,1.19,-0.192,106.585
SAI,Ferrari,25,2,Hard,4,0,1,1.155,-0.2,107.515
SAI,Ferrari,26,2,Hard,5,0,1,1.12,-0.208,103.541
SAI,Ferrari,27,2,Hard,6,0,1,1.085,-0.216,105.814
SAI,Ferrari,28,2,Hard,7,0,0,1.05,-0.224,90.652
SAI,Ferrari,29,2,Hard,8,0,0,1.015,-0.232,91.057
SAI,Ferrari,30,2,Hard,9,0,0,0.98,-0.24,90.768
SAI,Ferrari,31,2,Hard,10,0,0,0.945,-0.248,90.591
SAI,Ferrari,32,2,Hard,11,0,0,0.91,-0.256,90.709
SAI,Ferrari,33,2,Hard,12,0,0,0.875,-0.264,90.884
SAI,Ferrari,34,2,Hard,13,0,0,0.84,-0.272,90.632
SAI,Ferrari,35,2,Hard,14,0,0,0.805,-0.28,90.559
SAI,Ferrari,36,2,Hard,15,0,0,0.77,-0.288,90.818
SAI,Ferrari,37,2,Hard,16,0,0,0.735,-0.296,90.81
SAI,Ferrari,38,2,Hard,17,0,0,0.7,-0.304,90.614
SAI,Ferrari,39,2,Hard,18,0,0,0.665,-0.312,90.615
SAI,Ferrari,40,2,Hard,19,0,0,0.63,-0.32,90.783
SAI,Ferrari,41,2,Hard,20,0,0,0.595,-0.328,90.355
SAI,Ferrari,42,2,Hard,21,0,0,0.56,-0.336,90.357
SAI,Ferrari,43,2,Hard,22,0,0,0.525,-0.344,90.521
SAI,Ferrari,44,2,Hard,23,0,0,0.49,-0.352,90.64
SAI,Ferrari,45,2,Hard,24,0,0,0.455,-0.36,90.763
SAI,Ferrari,46,2,Hard,25,0,0,0.42,-0.368,91.046
SAI,Ferrari,47,2,Hard,26,0,0,0.385,-0.376,90.883
SAI,Ferrari,48,2,Hard,27,0,0,0.35,-0.384,90.621
SAI,Ferrari,49,2,Hard,28,0,0,0.315,-0.392,90.648
SAI,Ferrari,50,2,Hard,29,0,0,0.28,-0.4,90.394
SAI,Ferrari,51,2,Hard,30,0,0,0.245,-0.408,90.632
SAI,Ferrari,52,2,Hard,31,0,0,0.21,-0.416,90.557
SAI,Ferrari,53,2,Hard,32,0,0,0.175,-0.424,90.702
SAI,Ferrari,54,2,Hard,33,0,0,0.14,-0.432,90.406
SAI,Ferrari,55,2,Hard,34,0,0,0.105,-0.44,90.735
SAI,Ferrari,56,2,Hard,35,0,0,0.07,-0.448,90.98
SAI,Ferrari,57,2,Hard,36,0,0,0.035,-0.456,90.562
SAI,Ferrari,58,2,Hard,37,0,0,0.0,-0.464,90.681
NOR,McLaren,1,1,Medium,1,0,0,1.995,-0.008,91.235
NOR,McLaren,2,1,Medium,2,0,0,1.96,-0.016,90.974
NOR,McLaren,3,1,Medium,3,0,0,1.925,-0.024,91.142
NOR,McLaren,4,1,Medium,4,0,0,1.89,-0.032,91.101
NOR,McLaren,5,1,Medium,5,0,0,1.855,-0.04,91.134
NOR,McLaren,6,1,Medium,6,0,0,1.82,-0.048,90.929
NOR,McLaren,7,1,Medium,7,0,0,1.785,-0.056,91.14
NOR,McLaren,8,1,Medium,8,0,0,1.75,-0.064,91.27
NOR,McLaren,9,1,Medium,9,0,0,1.715,-0.072,91.521
NOR,McLaren,10,1,Medium,10,0,0,1.68,-0.08,91.41
NOR,McLaren,11,1,Medium,11,0,0,1.645,-0.088,91.72
NOR,McLaren,12,1,Medium,12,0,0,1.61,-0.096,91.002
NOR,McLaren,13,1,Medium,13,0,0,1.575,-0.104,91.424
NOR,McLaren,14,1,Medium,14,0,0,1.54,-0.112,91.264
NOR,McLaren,15,1,Medium,15,0,0,1.505,-0.12,91.777
NOR,McLaren,16,1,Medium,16,0,0,1.47,-0.128,91.04
NOR,McLaren,17,1,Medium,17,0,0,1.435,-0.136,91.044
NOR,McLaren,18,1,Medium,18,0,0,1.4,-0.144,91.116
NOR,McLaren,19,2,Hard,1,1,0,1.365,-0.152,90.187
NOR,McLaren,20,2,Hard,2,0,0,1.33,-0.16,90.579
NOR,McLaren,21,2,Hard,3,0,0,1.295,-0.168,90.512
NOR,McLaren,22,2,Hard,4,0,0,1.26,-0.176,90.732
NOR,McLaren,23,2,Hard,5,0,0,1.225,-0.184,90.771
NOR,McLaren,24,2,Hard,6,0,1,1.19,-0.192,105.004
NOR,McLaren,25,2,Hard,7,0,1,1.155,-0.2,107.328
NOR,McLaren,26,2,Hard,8,0,1,1.12,-0.208,108.251
NOR,McLaren,27,2,Hard,9,0,1,1.085,-0.216,107.259
NOR,McLaren,28,2,Hard,10,0,0,1.05,-0.224,91.104
NOR,McLaren,29,2,Hard,11,0,0,1.015,-0.232,90.933
NOR,McLaren,30,2,Hard,12,0,0,0.98,-0.24,90.513
NOR,McLaren,31,2,Hard,13,0,0,0.945,-0.248,90.194
